Botnet Family,Count
Conficker,2082
Zeus,707
Virut,640
ZeroAccess,496
Pushdo,234
Citadel,84
Ramnit,71
Tinba,69
Dyre,51
Bankpatch,50
Sality,45
Gamarue,38
Wapomi,14
Torpig,8
IRC Bot,6
Gozi,5
Simda,4
APT,3
Dofoil,1
DDoS_DirtJumper,1
Glupteba,
Palevo,
Neurevt,
Slenfbot,
Kelihos,
TDSS,
Rodecap,
blackenergy,
Carberp,
