Top Level Domain,count
com,275
hk,27
net,24
cn,18
com.hk,14
org,8
com.cn,4
us,2
org.hk,2
tv,1
sh.cn,1
edu.hk,1
sh,1
in,1
me,1
co.uk,1
cc,1
com.au,1
