Tld,Count
com,1660
hk,56
IP only,53
net,50
cn,42
com.hk,24
org,20
tk,12
org.ph,12
science,9
org.hk,7
com.cn,6
cn.com,5
com.np,4
cf,2
pw,2
us,3
ws,2
net.cn,1
ga,1
eu,1
name,1
tw,1
cc,1
ro,1
me,1
biz,1
info,1
de,1
