Tld,Count
com,1263
science,126
net,33
info,31
ga,21
ml,18
hk,14
IP only,13
cn,10
cf,7
com.hk,7
tk,7
cc,5
org.hk,5
co,4
pw,4
nf,3
org,3
xyz,2
asia,2
biz,2
org.cn,1
com.cn,1
