Top Level Domain,count
com,388
com.hk,84
net,82
hk,58
cn,28
info,19
org,18
edu.hk,17
com.cn,16
hk.cn,8
org.hk,7
cc,6
asia,4
tw,3
com.mo,1
biz,1
ch,1
wang,1
co.uk,1
pw,1
im,1
com.au,1
ca,1
com.sg,1
edu.cn,1
com.tw,1
li,1
org.cn,1
